BIZDATE,ITEMCODE,Record_Count,brand_1_STORE_CODE_Count,brand_2_STORE_CODE_Count,brand_6_STORE_CODE_Count,Spring_Eve,holiday,comp,recomm,photo,temp
"2014-01-06","1080053",40.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080093",7.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080064",23.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080058",52.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080056",35.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080094",10.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080092",10.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080055",19.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080061",20.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080059",13.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080054",35.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080062",15.000000,47,84,0,0,0,0,1,0,11
"2014-01-06","1080095",6.000000,47,84,0,0,0,0,1,0,11
"2014-01-07","1080052",72.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080057",17.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080093",14.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080095",4.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080064",31.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080058",64.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080056",37.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080094",3.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080092",9.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080055",24.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080061",26.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080059",18.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080054",33.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080062",32.000000,47,84,0,0,0,0,1,0,6
"2014-01-07","1080053",44.000000,47,84,0,0,0,0,1,0,6
"2014-01-08","1080052",58.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080053",30.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080093",16.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080095",10.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080064",20.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080058",52.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080056",30.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080094",10.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080092",7.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080055",26.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080061",28.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080059",13.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080062",11.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080054",36.000000,47,84,0,0,0,0,1,0,2
"2014-01-08","1080057",12.000000,47,84,0,0,0,0,1,0,2
"2014-01-09","1080056",23.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080064",39.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080095",6.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080093",20.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080053",43.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080055",25.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080062",14.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080054",54.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080059",30.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080061",23.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080052",84.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080092",4.000000,47,84,0,0,0,0,1,0,0
"2014-01-09","1080094",6.000000,47,84,0,0,0,0,1,0,0
